
Playing Time	Performance	Expected	Progression	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	xG	npxG	xAG	npxG+xAG	PrgC	PrgP	PrgR	Gls	Ast	G+A	G-PK	G+A-PK	xG	xAG	xG+xAG	npxG	npxG+xAG	Matches
66	Muriel Becker	br BRA	GK	Vitória	36	1987	1	1	90	1.0	0	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
67	Lucas Belezi	br BRA	DF	Ath Paranaense	20	2003	9	9	793	8.8	1	0	1	1	0	0	2	0	0.8	0.8	0.1	0.9	3	15	3	0.11	0.00	0.11	0.11	0.11	0.09	0.01	0.10	0.09	0.10	Matches
68	Ramiro Benetti	br BRA	MF	Cruzeiro	30	1993	27	17	1,436	16.0	2	0	2	2	0	0	3	0	1.1	1.1	0.7	1.8	9	57	43	0.13	0.00	0.13	0.13	0.13	0.07	0.04	0.11	0.07	0.11	Matches
69	Bento	br BRA	GK	Ath Paranaense	24	1999	7	7	630	7.0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
70	Alexandro Bernabei	ar ARG	DF	Internacional	23	2000	23	23	2,063	22.9	3	5	8	3	0	0	5	0	1.3	1.3	4.9	6.3	59	114	97	0.13	0.22	0.35	0.13	0.35	0.06	0.21	0.27	0.06	0.27	Matches
71	Facundo Bernal	uy URU	MF	Fluminense	20	2003	15	11	943	10.5	0	0	0	0	0	0	6	0	0.4	0.4	0.1	0.5	3	51	9	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.05	0.04	0.05	Matches
72	Bernard	br BRA	MF,FW	Atlético Mineiro	31	1992	16	12	900	10.0	0	0	0	0	0	0	1	0	0.5	0.5	1.8	2.3	28	61	70	0.00	0.00	0.00	0.00	0.00	0.05	0.18	0.23	0.05	0.23	Matches
73	Raul Bicalho	br BRA	DF	Corinthians	24	1999	1	1	90	1.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1	3	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
74	Matheus Bidu	br BRA	DF	Corinthians	24	1999	23	16	1,500	16.7	2	1	3	2	0	0	3	0	1.1	1.1	0.9	2.0	35	63	71	0.12	0.06	0.18	0.12	0.18	0.07	0.05	0.12	0.07	0.12	Matches
75	Biel	br BRA	FW,MF	Bahia	22	2001	26	4	904	10.0	5	4	9	5	0	0	2	0	4.5	4.5	3.4	7.9	37	41	100	0.50	0.40	0.90	0.50	0.90	0.45	0.34	0.79	0.45	0.79	Matches
76	Biro	br BRA	MF,DF	Corinthians	19	2004	3	0	16	0.2	0	0	0	0	0	0	0	0	0.1	0.1	0.0	0.1	1	3	3	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.51	0.51	0.51	Matches
77	Damián Bobadilla	py PAR	MF	São Paulo	22	2001	18	14	1,031	11.5	1	0	1	1	0	0	3	0	0.9	0.9	0.8	1.7	7	60	14	0.09	0.00	0.09	0.09	0.09	0.08	0.07	0.14	0.08	0.14	Matches
78	Yannick Bolasie	cd COD	FW	Criciúma	34	1989	34	27	2,377	26.4	8	4	12	8	0	0	4	0	7.4	7.4	1.8	9.2	63	55	172	0.30	0.15	0.45	0.30	0.45	0.28	0.07	0.35	0.28	0.35	Matches
79	Thiago Borbas	uy URU	FW	RB Bragantino	21	2002	21	9	956	10.6	2	0	2	2	0	0	3	0	2.0	2.0	0.3	2.4	2	12	40	0.19	0.00	0.19	0.19	0.19	0.19	0.03	0.23	0.19	0.23	Matches
80	Marllon Borges	br BRA	DF	Cuiabá	31	1992	33	33	2,881	32.0	1	0	1	1	0	0	4	0	1.2	1.2	0.4	1.6	4	56	1	0.03	0.00	0.03	0.03	0.03	0.04	0.01	0.05	0.04	0.05	Matches
81	Pedro Borges	br BRA	MF	Fortaleza	26	1997	27	12	1,168	13.0	0	1	1	0	0	0	8	0	0.1	0.1	0.2	0.3	2	51	9	0.00	0.08	0.08	0.00	0.08	0.01	0.02	0.03	0.01	0.03	Matches
82	Rafael Borré	co COL	FW	Internacional	28	1995	23	23	1,870	20.8	9	3	12	9	0	1	6	0	12.9	12.1	1.0	13.1	20	42	129	0.43	0.14	0.58	0.43	0.58	0.62	0.05	0.67	0.58	0.63	Matches
83	Danilo Boza	br BRA	DF	Juventude	25	1998	32	32	2,829	31.4	3	1	4	3	0	0	2	0	2.9	2.9	0.3	3.2	20	88	10	0.10	0.03	0.13	0.10	0.13	0.09	0.01	0.10	0.09	0.10	Matches
84	Martin Braithwaite	dk DEN	FW	Grêmio	32	1991	18	18	1,462	16.2	8	2	10	8	0	0	2	0	5.6	5.6	1.4	7.0	19	31	78	0.49	0.12	0.62	0.49	0.62	0.34	0.09	0.43	0.34	0.43	Matches
85	Breno	br BRA	FW,MF	Fortaleza	28	1996	32	22	1,897	21.1	5	3	8	5	0	0	4	0	4.5	4.5	1.3	5.8	81	43	163	0.24	0.14	0.38	0.24	0.38	0.21	0.06	0.27	0.21	0.27	Matches
86	Breno	br BRA	MF	Corinthians	18	2005	29	22	1,780	19.8	0	0	0	0	0	0	5	0	1.4	1.4	1.0	2.4	24	118	55	0.00	0.00	0.00	0.00	0.00	0.07	0.05	0.12	0.07	0.12	Matches
87	José Breno	br BRA	MF	Vitória	19	2004	1	0	9	0.1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
88	Emanuel Brítez	ar ARG	DF	Fortaleza	31	1992	30	29	2,503	27.8	0	2	2	0	0	0	12	2	1.2	1.2	1.9	3.1	12	64	23	0.00	0.07	0.07	0.00	0.07	0.04	0.07	0.11	0.04	0.11	Matches
